timestamp,symbol,side,qty,entry,entry_intent,tp,sl,exit,pnl,status,id,prob,prob_raw,prob_cal,rr,entry_maker,tp_type,mode,reprices,used_market_fallback,post_only,spread_bps,atr_now,funding_pct,maker_prob_est,rr_gate_mode,reasons,close_reason,size_mode,bal_asset,notional,bal_pct,_gcs_path,_ts
2025-08-23T00:08:14.429405+00:00,BTCUSDT,long,0.0010000000,116813.0000000000,116845.2000000000,117140.6000000000,116739.6171428571,,,open,522141aa,0.650000,0.650000,0.650000,1.415345,1,LIMIT,LIMIT,0,0,1,0.008561,87.9857142857,0.010000,1.000000,expected,ok,,USDT,USDT,116.8452000000,0.000000,trading_bot/trades/20250823/000814_48ks7.csv,2025-08-23 00:08:14.429405+00:00
2025-08-23T01:33:08.521445+00:00,ETHUSDT,long,0.0260000000,4770.7000000000,4771.0000000000,4887.7800000000,4756.0145714286,,,open,f729a7f4,0.650000,0.650000,0.650000,6.436095,1,LIMIT,LIMIT,0,0,1,0.020962,12.4878571429,0.010000,1.000000,expected,ok,,USDT,USDT,124.0460000000,0.000000,trading_bot/trades/20250823/013308_iujq1.csv,2025-08-23 01:33:08.521445+00:00
2025-08-23T01:48:06.470442+00:00,ETHUSDT,long,0.0260000000,4769.6410638300,4756.1400000000,4879.3200000000,4756.0200000000,,,open,2f47a322,0.650000,0.650000,0.650000,40.783602,1,LIMIT,LIMIT,0,0,1,0.020974,14.1621428571,0.010000,1.000000,expected,ok,,USDT,USDT,99.8789400000,0.000000,trading_bot/trades/20250823/014806_3yp6n.csv,2025-08-23 01:48:06.470442+00:00
2025-08-23T02:08:07.001790+00:00,BTCUSDT,long,0.0010000000,116385.2000000000,116400.0000000000,117000.0000000000,116239.8000000000,,,open,5d5cf67a,0.650000,0.650000,0.650000,2.405842,1,LIMIT,LIMIT,0,0,1,0.008591,135.1928571429,0.010000,1.000000,expected,ok,,USDT,USDT,116.4000000000,0.000000,trading_bot/trades/20250823/020807_bcyss.csv,2025-08-23 02:08:07.001790+00:00
2025-08-23T02:28:05.864833+00:00,BTCUSDT,long,0.0010000000,115889.8000000000,116082.0000000000,116988.0000000000,115901.9142857143,,,open,2addb7b1,0.650000,0.650000,0.650000,3.441918,1,LIMIT,LIMIT,0,0,1,0.008629,150.0714285714,0.010000,1.000000,expected,ok,,USDT,USDT,116.0820000000,0.000000,trading_bot/trades/20250823/022805_vbtqm.csv,2025-08-23 02:28:05.864833+00:00
2025-08-23T02:28:09.834684+00:00,ETHUSDT,long,0.0170000000,4722.9700000000,4745.4100000000,4846.4000000000,4741.5300000000,,,open,b36ead02,0.650000,0.650000,0.650000,14.729926,1,LIMIT,LIMIT,0,0,1,0.021168,16.4592857143,0.010000,1.000000,expected,ok,,USDT,USDT,80.6719700000,0.000000,trading_bot/trades/20250823/022809_iz3jc.csv,2025-08-23 02:28:09.834684+00:00
2025-08-23T03:13:07.859517+00:00,ETHUSDT,long,0.0130000000,4718.9400000000,4703.3200000000,4846.4000000000,4676.1091428571,,,open,ccf89660,0.650000,0.650000,0.650000,4.701474,1,LIMIT,LIMIT,0,0,1,0.021194,22.6757142857,0.010000,1.000000,expected,ok,,USDT,USDT,61.1431600000,0.000000,trading_bot/trades/20250823/031307_pqrc2.csv,2025-08-23 03:13:07.859517+00:00
2025-08-23T04:43:05.442084+00:00,BTCUSDT,long,0.0010000000,115787.2000000000,115907.4000000000,116988.0000000000,115775.7514285714,,,open,74a56631,0.650000,0.650000,0.650000,5.140522,1,LIMIT,LIMIT,0,0,1,0.008637,109.7071428571,0.010000,1.000000,expected,ok,,USDT,USDT,115.9074000000,0.000000,trading_bot/trades/20250823/044305_fgt7v.csv,2025-08-23 04:43:05.442084+00:00
2025-08-23T04:53:06.910507+00:00,ETHUSDT,long,0.0210000000,4738.0900000000,4729.6900000000,4816.8000000000,4712.3654285714,,,open,7e3496b9,0.650000,0.650000,0.650000,4.226589,1,LIMIT,LIMIT,0,0,1,0.021106,14.4371428571,0.010000,1.000000,expected,ok,,USDT,USDT,99.3234900000,0.000000,trading_bot/trades/20250823/045306_2fa0b.csv,2025-08-23 04:53:06.910507+00:00
2025-08-23T05:28:29.997764+00:00,ETHUSDT,long,0.0220000000,4741.9900000000,4743.4800000000,4804.4900000000,4727.1651428571,,,open,365a36fe,0.650000,0.650000,0.650000,3.085057,1,LIMIT,LIMIT,1,0,1,0.021100,13.5957142857,0.010000,1.000000,expected,ok,,USDT,USDT,104.3565600000,0.000000,trading_bot/trades/20250823/052829_8osy9.csv,2025-08-23 05:28:29.997764+00:00
