timestamp,symbol,side,qty,entry,entry_intent,tp,sl,exit,pnl,status,id,prob,rr,entry_maker,tp_type,mode,reprices,used_market_fallback,post_only,spread_bps,atr_now,funding_pct,maker_prob_est,rr_gate_mode,reasons,close_reason,size_mode,bal_asset,notional,bal_pct,_gcs_path,prob_raw,prob_cal,_ts
2025-08-22T03:23:24.163370+00:00,ETHUSDT,long,0.0210000000,4281.4800000000,4286.7300000000,4313.5100000000,4272.8348571429,,,open,e782d41e,0.650000,1.459730,1,LIMIT,LIMIT,0,0,1,0.023353,11.5792857143,0.006376,0.500000,expected,ok,,USDT,USDT,90.0213300000,0.000000,trading_bot/trades/20250822/032324_ft0z7.csv,,,2025-08-22 03:23:24.163370+00:00
2025-08-22T04:43:09.265167+00:00,ETHUSDT,long,0.0230000000,4287.8400000000,4289.1900000000,4313.5100000000,4276.8942857143,,,open,1ff80cd0,0.650000,1.451475,1,LIMIT,LIMIT,0,0,1,0.023319,10.2464285714,0.006376,0.500000,expected,ok,,USDT,USDT,98.6513700000,0.000000,trading_bot/trades/20250822/044309_htg6b.csv,,,2025-08-22 04:43:09.265167+00:00
2025-08-22T06:13:07.603952+00:00,ETHUSDT,long,0.0270000000,4287.9600000000,4290.1800000000,4313.5100000000,4280.2405714286,,,open,1b41bbb2,0.650000,1.639742,1,LIMIT,LIMIT,0,0,1,0.023273,8.2828571429,0.006376,0.500000,expected,ok,,USDT,USDT,120.1250400000,0.000000,trading_bot/trades/20250822/061307_9pux3.csv,0.650000,0.650000,2025-08-22 06:13:07.603952+00:00
2025-08-22T07:33:09.412863+00:00,ETHUSDT,long,0.0170000000,4325.5800000000,4336.4300000000,4366.1315714286,4320.2291428571,,,open,cbfbad4b,0.650000,1.487392,1,LIMIT,LIMIT,0,0,1,0.023118,13.5007142857,0.006376,1.000000,expected,ok,,USDT,USDT,73.7193100000,0.000000,trading_bot/trades/20250822/073309_heg9y.csv,0.650000,0.650000,2025-08-22 07:33:09.412863+00:00
2025-08-22T07:48:07.317536+00:00,ETHUSDT,long,0.0350000000,4328.9280000000,4329.3600000000,4357.0422857143,4314.2605714286,,,open,57b40728,0.650000,1.466377,1,LIMIT,LIMIT,0,0,1,0.023077,12.5828571429,0.006376,1.000000,expected,ok,,USDT,USDT,77.9284800000,0.000000,trading_bot/trades/20250822/074807_omkmh.csv,0.650000,0.650000,2025-08-22 07:48:07.317536+00:00
2025-08-22T08:08:07.017013+00:00,ETHUSDT,long,0.0350000000,4328.9280000000,4338.9300000000,4367.9307142857,4323.1114285714,,,open,6417d913,0.650000,1.480037,1,LIMIT,LIMIT,0,0,1,0.023032,13.1821428571,0.006670,1.000000,expected,ok,,USDT,USDT,73.7618100000,0.000000,trading_bot/trades/20250822/080807_yeqw1.csv,0.650000,0.650000,2025-08-22 08:08:07.017013+00:00
2025-08-22T08:28:07.416649+00:00,ETHUSDT,long,0.0520000000,4333.1623076920,4339.1900000000,4366.3427142857,4324.3794285714,,,open,2ab5b62e,0.650000,1.459568,1,LIMIT,LIMIT,0,0,1,0.023020,12.3421428571,0.006670,1.000000,expected,ok,,USDT,USDT,78.1054200000,0.000000,trading_bot/trades/20250822/082807_n9ofi.csv,0.650000,0.650000,2025-08-22 08:28:07.416649+00:00
2025-08-22T08:48:07.122965+00:00,ETHUSDT,long,0.0700000000,4335.5145714280,4341.4500000000,4365.4724285714,4328.3468571429,,,open,ee941738,0.650000,1.418757,1,LIMIT,LIMIT,0,0,1,0.023092,10.9192857143,0.006670,1.000000,expected,ok,,USDT,USDT,91.1704500000,0.000000,trading_bot/trades/20250822/084807_f8kt9.csv,0.650000,0.650000,2025-08-22 08:48:07.122965+00:00
2025-08-22T09:43:10.308026+00:00,ETHUSDT,long,0.0240000000,4317.9900000000,4313.1600000000,4352.9700000000,4301.1240000000,,,open,2eb88da4,0.650000,2.604281,1,LIMIT,LIMIT,0,0,1,0.023162,10.0300000000,0.006670,1.000000,expected,ok,,USDT,USDT,103.5158400000,0.000000,trading_bot/trades/20250822/094310_l3uh0.csv,0.650000,0.650000,2025-08-22 09:43:10.308026+00:00
2025-08-22T11:03:07.386930+00:00,ETHUSDT,long,0.0270000000,4294.5900000000,4294.6400000000,4352.9700000000,4286.0000000000,,,open,cbc6be08,0.650000,5.047092,1,LIMIT,LIMIT,0,0,1,0.023285,8.8178571429,0.006670,1.000000,expected,ok,,USDT,USDT,115.9552800000,0.000000,trading_bot/trades/20250822/110307_84vbd.csv,0.650000,0.650000,2025-08-22 11:03:07.386930+00:00
2025-08-22T11:08:28.904724+00:00,BTCUSDT,long,0.0010000000,112493.9000000000,112560.1000000000,113273.9000000000,112473.4000000000,,,open,5116ebe5,0.650000,4.336054,1,LIMIT,LIMIT,1,0,1,0.008891,88.9285714286,0.010000,1.000000,expected,ok,,USDT,USDT,112.5601000000,0.000000,trading_bot/trades/20250822/110828_lkti1.csv,0.650000,0.650000,2025-08-22 11:08:28.904724+00:00
2025-08-22T11:23:14.239603+00:00,BTCUSDT,long,0.0010000000,112307.0000000000,112276.5000000000,113273.9000000000,112222.7000000000,,,open,507119ee,0.650000,7.861035,1,LIMIT,LIMIT,0,0,1,0.008904,96.6214285714,0.010000,1.000000,expected,ok,,USDT,USDT,112.2765000000,0.000000,trading_bot/trades/20250822/112314_kzxvz.csv,0.650000,0.650000,2025-08-22 11:23:14.239603+00:00
2025-08-22T11:23:20.012789+00:00,ETHUSDT,long,0.0250000000,4281.0000000000,4281.3300000000,4352.9700000000,4274.4900000000,,,open,640ac87a,0.650000,7.432136,1,LIMIT,LIMIT,0,0,1,0.023359,9.7735714286,0.006670,1.000000,expected,ok,,USDT,USDT,107.0332500000,0.000000,trading_bot/trades/20250822/112320_h9r4c.csv,0.650000,0.650000,2025-08-22 11:23:20.012789+00:00
2025-08-22T11:38:05.416439+00:00,ETHUSDT,long,0.0250000000,4281.0000000000,4279.2900000000,4352.9700000000,4274.4900000000,,,open,522f9f44,0.650000,9.768247,1,LIMIT,LIMIT,0,0,1,0.023344,9.1707142857,0.006670,1.000000,expected,ok,,USDT,USDT,111.2615400000,0.000000,trading_bot/trades/20250822/113805_csnnb.csv,0.650000,0.650000,2025-08-22 11:38:05.416439+00:00
2025-08-22T11:43:06.781944+00:00,BTCUSDT,long,0.0010000000,112225.5000000000,112130.4000000000,113273.9000000000,112130.3000000000,,,open,4290278a,0.650000,16.305677,1,LIMIT,LIMIT,0,0,1,0.008910,96.4142857143,0.010000,1.000000,expected,ok,,USDT,USDT,112.1304000000,0.000000,trading_bot/trades/20250822/114306_69v4z.csv,0.650000,0.650000,2025-08-22 11:43:06.781944+00:00
